artifact_id	label	analysis_step	authoritative_rmd	source_table_or_tables	plot_output	data_package	status	notes
MAIN_FIG_1	Figure 1	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	chemistry_metrics object; chemical_TU_long.csv; MoA_TU_long.csv; documented Weichert study-map source	Results_02_Chemistry_Transcriptome_Integration/plots/chemistry/chemistry_exposure_gradient.*; panel objects chemical_wide/chemical_pca	DP01	mapped	Composite panels: study map provenance is external to Step 02; internal chemistry panels retain source objects.
MAIN_FIG_2	Figure 2	01	01_Holtemme_Global_Transcriptome_Structure.Rmd	Results_01_Global_Transcriptome_Structure/tables/pca_sample_scores.csv; pca_variance_explained.csv; adjacent_site_centroid_distances.csv	Results_01_Global_Transcriptome_Structure/plots/04_pca_pc1_pc2_publication.*; Figure2B_adjacent_centroid_distances_publication.*	DP03	mapped	Panel B historical/local output is retained and mapped explicitly to current Figure 2.
MAIN_FIG_3	Figure 3	03	03_Holtemme_Differential_Expression.Rmd	Results_03_Differential_Expression/tables/contrast_summary.csv; reference_contrast_pattern_summary.csv; local_contrast_pattern_summary.csv; contrast_priority_table.csv	Results_03_Differential_Expression/plots/Figure4A_DEG_burden_gradient_plus_WWTP_publication.*; Figure4B_effect_size_gradient_plus_WWTP_publication.*	DP04	mapped	Legacy Figure4A/Figure4B filenames are current manuscript Figure 3A/Figure 3B; no scientific output rename.
MAIN_FIG_4	Figure 4	06	06_Holtemme_Functional_Synthesis.Rmd	Results_06_Functional_Synthesis/tables/figure4_functional_landscape/figure4_family_cell_provenance.tsv; figure4_source_term_family_provenance.tsv; figure4_gene_term_family_provenance.tsv; figure4_gene_provenance_summary.tsv	Results_06_Functional_Synthesis/final_paper_figures/figure4_functional_response_landscape.*	DP05	mapped	Minimal reconstruction and broader ontology/audit provenance are distinguished in the artifact registry.
MAIN_FIG_5	Figure 5	08	08_Holtemme_Site_Associated_Module_Functional_Exploration.Rmd	Results_08_Site_Associated_Module_Functional_Exploration/tables/figure_wgcna_final_panel_A_eigengenes.csv; figure_wgcna_final_panel_B_contrasts.csv; figure_wgcna_final_panel_C_composition.csv; figure_wgcna_final_panel_D_functional_families.csv	Results_08_Site_Associated_Module_Functional_Exploration/plots/Figure_WGCNA_site_associated_modules_final.*	DP07	mapped	DP06 network-selection evidence is upstream support only and is not a direct paper-facing artifact.
SUPP_FIG_S1	Figure S1	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP01_chemistry/publication_artifacts/Figure_S1/Supplementary_Figure_S1_final.png	DP01_chemistry/publication_artifacts/Figure_S1/Supplementary_Figure_S1_final.png	DP01	upstream_external_result	Exact V9.1 SI raster; authoritative upstream chemistry result with graphical-only legend repair. Supporting chemistry descriptors are derived DP01 evidence; primary chemistry and chemical-use classification remain external (DOI 10.5281/zenodo.22143080).
SUPP_FIG_S2	Figure S2	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	DP01_chemistry/publication_artifacts/Figure_S2/Supplementary_Figure_S2_final.png	DP01_chemistry/publication_artifacts/Figure_S2/Supplementary_Figure_S2_final.png	DP01	composite_from_frozen_sources	Exact V9.1 SI three-panel raster. Reconstruction/source data remain moa_heatmap_source.csv; moa_pca_scores.csv; moa_pca_loadings.csv; moa_log10_sumTU_panel_source.csv; no toxicity or PCA recalculation is performed.
SUPP_FIG_S3	Figure S3	01	01_Holtemme_Global_Transcriptome_Structure.Rmd	DP03_global_transcriptome_structure/publication_artifacts/Figure_S3/Supplementary_Figure_S3_final.png	DP03_global_transcriptome_structure/publication_artifacts/Figure_S3/Supplementary_Figure_S3_final.png; 06_sample_distance_heatmap.*; 07_hierarchical_clustering_dendrogram.*	DP03	composite_from_frozen_sources	Exact V9.1 SI two-panel raster assembled from the canonical DP03 heatmap and dendrogram; component plots remain separately available.
SUPP_FIG_S4	Figure S4	02	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd	chemistry_rda_model_comparison.csv; chemistry_rda_site_scores.csv; chemistry_rda_permutation_tests.csv; site_centroid_rda_summary.csv; site_centroid_rda_stu_scores.csv	Results_02_Chemistry_Transcriptome_Integration/plots/constrained_ordination/rda_site_centroid_vst_log10_STU_ToxC.*	DP03	mapped	Reconstruction sources are model comparison, site scores, summary, and STU scores; permutation and response-gene tables are audit/support layers.
SUPP_FIG_S5	Supplementary Figure S5	06	06_Holtemme_Functional_Synthesis.Rmd	candidate_gene_display_panel.tsv; candidate_gene_expression_site_mean_vst.tsv; candidate_gene_expression_site_mean_row_scaled_vst.tsv; candidate_gene_selection_audit.tsv; candidate_gene_bp_family_inventory.tsv	Results_06_Functional_Synthesis/final_paper_figures/figure5_functional_family_linked_candidate_gene_heatmap.*	DP05	mapped	Final 16-gene target-supported candidate-gene heatmap; EchoGO v0.1.4 / DP05. Historical/local figure5 filename stem is retained for Supplementary Figure S5 and is not the main manuscript Figure 5 WGCNA source.
