artifact_or_group_id	data_package	source_path	zenodo_path	role	inclusion_rule	external_dependency	status	notes
MAIN_FIG_1	DP01	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd; Results_02_Chemistry_Transcriptome_Integration/plots/chemistry/*	DP01_chemistry/publication_artifacts/Figure_1	publication_reconstruction	canonical Figure 1 source plots only	10.5281/zenodo.22143080	ready_candidate	Study-map provenance remains external.
MAIN_FIG_2	DP03	01_Holtemme_Global_Transcriptome_Structure.Rmd; Results_01_Global_Transcriptome_Structure/plots/04_pca_pc1_pc2_publication.*; Figure2B_adjacent_centroid_distances.*	DP03_global_transcriptome_structure/publication_artifacts/Figure_2	publication_reconstruction	canonical Figure 2 plots	SRP571512	ready_candidate	Historical Figure2B filename retained.
MAIN_FIG_3	DP04	03_Holtemme_Differential_Expression.Rmd; Results_03_Differential_Expression/plots/Figure4A*; Figure4B*	DP04_differential_expression/publication_artifacts/Figure_3	publication_reconstruction	legacy Figure4A/Figure4B outputs mapped to Figure 3A/3B		ready_candidate	No scientific output rename.
MAIN_FIG_4	DP05	06_Holtemme_Functional_Synthesis.Rmd; Results_06_Functional_Synthesis/final_paper_figures/figure4_functional_response_landscape.*	DP05_functional_evidence/publication_artifacts/Figure_4	publication_reconstruction	canonical Figure 4 outputs	EchoGO 0.1.4 dcf41371b20cccb2914852dc2c0436ecba62c559	ready_candidate	Four provenance layers included.
MAIN_FIG_5	DP07	08_Holtemme_Site_Associated_Module_Functional_Exploration.Rmd; Results_08_Site_Associated_Module_Functional_Exploration/plots/Figure_WGCNA_site_associated_modules_final.*	DP07_site_associated_modules/publication_artifacts/Figure_5	publication_reconstruction	canonical Figure 5 plots and four panel tables	DP06 network-selection evidence	ready_candidate	DP06 is upstream only.
SUPP_FIG_S1	DP01	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd; Results_02_Chemistry_Transcriptome_Integration/publication_artifacts/Figure_S1/*.csv	DP01_chemistry/publication_artifacts/Figure_S1	publication_reconstruction	all deterministic S1 source exports	10.5281/zenodo.22143080	ready_candidate	No composite raster claimed because original SI plotting code is unavailable.
SUPP_FIG_S2	DP01	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd; Results_02_Chemistry_Transcriptome_Integration/publication_artifacts/Figure_S2/*.csv	DP01_chemistry/publication_artifacts/Figure_S2	publication_reconstruction	all deterministic S2 source exports	10.5281/zenodo.22143080	ready_candidate	No composite raster claimed because original SI plotting code is unavailable.
SUPP_FIG_S3	DP03	01_Holtemme_Global_Transcriptome_Structure.Rmd; Results_01_Global_Transcriptome_Structure/plots/06*; 07*	DP03_global_transcriptome_structure/publication_artifacts/Figure_S3	publication_reconstruction	canonical distance/clustering plots	SRP571512	ready_candidate	Distance matrix staged in analytical evidence.
SUPP_FIG_S4	DP03	02_Holtemme_Chemistry_Transcriptome_Integration.Rmd; Results_02_Chemistry_Transcriptome_Integration/plots/constrained_ordination/rda_site_centroid_vst_log10_STU_ToxC.*	DP03_global_transcriptome_structure/publication_artifacts/Figure_S4	publication_reconstruction	canonical RDA plot and tables	SRP571512; 10.5281/zenodo.22143080	ready_candidate	Six-site centroid RDA.
SUPP_FIG_S5	DP05	06_Holtemme_Functional_Synthesis.Rmd; Results_06_Functional_Synthesis/final_paper_figures/figure5_functional_family_linked_candidate_gene_heatmap.*	DP05_functional_evidence/publication_artifacts/Figure_S5	publication_reconstruction	canonical S5 plot and source matrices	EchoGO 0.1.4 dcf41371b20cccb2914852dc2c0436ecba62c559	ready_candidate	Historical figure5 stem retained.
