"contrast"	"contrast_label"	"ontology"	"functional_family"	"n_semantic_features_total"	"n_target_supported_features"	"n_TARGET_ONLY_features"	"n_TARGET_PLUS_CONTEXT_features"	"n_matched_background_hypothesis_features"	"n_default_domain_exploratory_only_features"	"n_features_with_weaker_tier_recovery"	"has_target_support"	"has_TARGET_PLUS_CONTEXT"	"has_matched_background_hypothesis"	"has_default_domain_exploratory_only"	"target_feature_ids"	"matched_background_feature_ids"	"exploratory_only_feature_ids"	"all_feature_ids"	"exact_GO_IDs"	"review_complete"	"display_in_figure"
"HOL02_vs_HOL01"	"H3 vs H2"	"BP"	"DNA maintenance and genotoxic stress"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"GO:0000184"	""	""	"GO:0000184"	"GO:0000184;GO:0006342;GO:0045814"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"BP"	"Development, adhesion, and cytoskeletal remodelling"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"GO:0030029;GO:0030239"	""	""	"GO:0030029;GO:0030239"	"GO:0030029;GO:0030036;GO:0030239;GO:0031032;GO:0055001;GO:0055002"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"BP"	"Energy and primary metabolism"	"4"	"0"	"0"	"0"	"0"	"4"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0006119;GO:0015986;GO:0072522;GO:1902600"	"GO:0006119;GO:0015986;GO:0072522;GO:1902600"	"GO:0006091;GO:0006119;GO:0006123;GO:0006163;GO:0006164;GO:0006754;GO:0006810;GO:0006811;GO:0006812;GO:0009060;GO:0009141;GO:0009142;GO:0009144;GO:0009145;GO:0009150;GO:0009152;GO:0009165;GO:0009201;GO:0009205;GO:0009206;GO:0009259;GO:0009260;GO:0015980;GO:0015986;GO:0015988;GO:0015990;GO:0019646;GO:0019693;GO:0022900;GO:0022904;GO:0034220;GO:0042773;GO:0042775;GO:0045333;GO:0046034;GO:0046390;GO:0051179;GO:0051234;GO:0055085;GO:0072521;GO:0072522;GO:0098655;GO:1901293;GO:1902600"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"BP"	"Proteostasis, translation, and RNA processing"	"4"	"4"	"4"	"0"	"0"	"0"	"0"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"GO:0002181;GO:0006518;GO:0006612;GO:0043603"	""	""	"GO:0002181;GO:0006518;GO:0006612;GO:0043603"	"GO:0002181;GO:0006412;GO:0006413;GO:0006518;GO:0006612;GO:0006613;GO:0006614;GO:0043043;GO:0043603;GO:0045047;GO:0070972;GO:0072599"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"BP"	"Transport and intracellular trafficking"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0071169"	"GO:0071169"	"GO:0070199;GO:0071169"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"CC"	"Cell junctions and adhesion structures"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"GO:0005912"	""	""	"GO:0005912"	"GO:0005912;GO:0005925;GO:0030055;GO:0070161"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"CC"	"Cytoskeleton, cortex, and cell projections"	"3"	"2"	"2"	"0"	"0"	"1"	"0"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"GO:0005865;GO:0005884"	""	"GO:0031672"	"GO:0005865;GO:0005884;GO:0031672"	"GO:0005863;GO:0005865;GO:0005884;GO:0015629;GO:0016459;GO:0030016;GO:0030017;GO:0031672;GO:0032982;GO:0036379;GO:0043292;GO:0099080;GO:0099081;GO:0099512"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"CC"	"Cytosol and cytoplasmic bodies"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0005737"	"GO:0005737"	"GO:0005737;GO:0005739"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"CC"	"Endomembrane and organelle-lumen compartments"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0031090"	"GO:0031090"	"GO:0031090"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"CC"	"Mitochondrial and energy-associated compartments"	"5"	"0"	"0"	"0"	"0"	"5"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0005743;GO:0045253;GO:0098796;GO:0098803;GO:1990204"	"GO:0005743;GO:0045253;GO:0098796;GO:0098803;GO:1990204"	"GO:0005740;GO:0005743;GO:0016469;GO:0019866;GO:0019910;GO:0031966;GO:0031967;GO:0045253;GO:0045259;GO:0045277;GO:0070069;GO:0098796;GO:0098803;GO:1902494;GO:1990204"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"CC"	"Nuclear and chromatin compartments"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0005664"	"GO:0005664"	"GO:0000808;GO:0005664"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"CC"	"Plasma membrane and cell-surface structures"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0016327"	"GO:0016327"	"GO:0016327"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"CC"	"Ribosome and translation complexes"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"GO:0005840"	""	""	"GO:0005840"	"GO:0005840;GO:0015934;GO:0022625;GO:0022626;GO:0022627;GO:0043228;GO:0043232;GO:0044391"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"MF"	"Carbohydrate, lipid, and small-molecule metabolic activity"	"4"	"2"	"2"	"0"	"0"	"2"	"0"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"GO:0004133;GO:0004134"	""	"GO:0004634;GO:0045127"	"GO:0004133;GO:0004134;GO:0004634;GO:0045127"	"GO:0004133;GO:0004134;GO:0004634;GO:0045127"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"MF"	"Hydrolase and catabolic activity"	"4"	"1"	"1"	"0"	"0"	"3"	"0"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"GO:0004135"	""	"GO:0003924;GO:0004741;GO:0140292"	"GO:0003924;GO:0004135;GO:0004741;GO:0140292"	"GO:0003924;GO:0004135;GO:0004649;GO:0004741;GO:0016462;GO:0016817;GO:0016818;GO:0017111;GO:0140292"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"MF"	"Nucleic-acid binding and processing"	"4"	"0"	"0"	"0"	"0"	"4"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0001069;GO:0003725;GO:0003726;GO:0033677"	"GO:0001069;GO:0003725;GO:0003726;GO:0033677"	"GO:0001069;GO:0003725;GO:0003726;GO:0008251;GO:0033677;GO:0033679;GO:0034458;GO:0043530"	"TRUE"	"TRUE"
"HOL02_vs_HOL01"	"H3 vs H2"	"MF"	"Oxidoreductase and redox activity"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	""	""	"GO:0009055;GO:0070224"	"GO:0009055;GO:0070224"	"GO:0000104;GO:0004096;GO:0004616;GO:0008177;GO:0009055;GO:0070224"	"TRUE"	"TRUE"
